year,week,firstName,lastName,position,salary,eventId
2026,6,Brennan,O'Neill,A,36,2026-ev-21
2026,6,Joey,Spallina,A,24,2026-ev-21
2026,6,Ryan,Croddick,G,10,2026-ev-22
2026,6,Graham,Bundy,M,13,2026-ev-21
2026,6,Mike,Sisselberger,FO,8,2026-ev-23
2026,6,Mikey,Weisshaar,M,12,2026-ev-22
2026,6,Ben,Ramsey,D,6,2026-ev-22
2026,8,Liam,Entenmann,G,38,2026-ev-27
2026,8,Joey,Spallina,A,32,2026-ev-26
2026,8,CJ,Kirst,A,50,2026-ev-25
2026,8,Andrew,McAdorey,M,22,2026-ev-25
2026,8,Matt,Traynor,M,19,2026-ev-27
2026,8,Petey,LaSalla,FO,21,2026-ev-26
2026,8,Owen,Grant,D,17,2026-ev-28
2026,9,Brennan,O'Neill,A,36,2026-ev-30
2026,9,Liam,Entenmann,G,37,2026-ev-32
2026,9,CJ,Kirst,A,50,2026-ev-31
2026,9,TD,Ierlan,FO,21,2026-ev-29
2026,9,Andrew,McAdorey,M,20,2026-ev-29
2026,9,Josh,Yago,M,22,2026-ev-31
2026,9,Michael,Manley,D,13,2026-ev-30
2026,10,Rob,Pannell,A,30,2026-ev-36
2026,10,Blaze,Riorden,G,41,2026-ev-35
2026,10,CJ,Kirst,A,38,2026-ev-34
2026,10,Mike,Sisselberger,FO,9,2026-ev-36
2026,10,Chad,Palumbo,M,23,2026-ev-35
2026,10,Jack,Regnery,M,14,2026-ev-35
2026,10,Ethan,Rall,D,19,2026-ev-35
